type , amount , price
Regular, 15, 29.7
Regular, 15, 29.7
Regular, 15, 29.7
Premium, 10, 21.099999999999998
regular, 11.0, 22.44
premium, 30.0, 70.19999999999999
regular, 15.0, 30.6
mid-grade, 100.0, 212.0
regular, 12.0, 24.48
mid-grade, 21.0, 44.52
premium, 43.0, 100.61999999999999
diesel, 7.0, 21.14
regular, 13.0, 26.52
diesel, 12.0, 36.24
mid-grade, 12.0, 25.44
regular, 12.0, 24.48
regular, 12.0, 24.48
mid-grade, 40.0, 84.80000000000001
regular, 3.0, 6.12
regular, 3.0, 6.12
regular, 12.0, 24.48
premium, 5.0, 11.7
diesel, 5.0, 15.1
regular, 30.0, 61.2
premium, 20.0, 46.8
regular, 12.0, 24.48
diesel, 12.0, 36.24
regular, 12.0, 24.48
regular, 123.0, 250.92000000000002
regular, 123.0, 250.92000000000002
regular, 123.0, 250.92000000000002
regular, 123.0, 250.92000000000002
regular, 12.0, 24.48
diesel, 12.0, 36.24
regular, 12.0, 24.48
premium, 12.0, 24.839999999999996
diesel, 12.0, 37.2
regular, 5.0, 10.35
mid-grade, 12.0, 25.200000000000003
mid-grade, 12.0, 25.200000000000003
